feature,spearman_mos,p_value
FID_mean,-0.8683075074514464,1.1158663555039055e-14
LPIPS_Alex_mean,-0.7490856570140171,3.2443434918029928e-09
PSNR_mean,0.7125770396140201,4.005157736190224e-08
SSIM_mean,0.6941250308197977,1.238565850071791e-07
Texture Resolution,0.5619621026946939,5.8947887760560116e-05
L2_mean,-0.5556032148046206,7.435569581228037e-05
Number of Triangles,0.46180694915513126,0.0014064280745170934
NIQE_mean,0.41291599457543593,0.004817774779407723
Haussdorf_mean,-0.40816329214818436,0.005380047833643895
BRISQE_mean,0.12448105869023277,0.4152314455356993
Number of Images,0.04884327030010361,0.7500141430487025
