asset_id,view,resolution,condition,clean_to_perturbed_chamfer
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,blur_low,0.05187340450718257
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,blur_low,0.08376087485103981
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,blur_low,0.052265119706091906
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,128,blur_low,0.06443793065228375
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,128,blur_low,0.058328831252751165
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,128,blur_low,0.04730636349390402
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,blur_low,0.04311924855463246
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,blur_low,0.03322486815115429
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,blur_low,0.06720364945585308
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,blur_low,0.04323321998490125
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,blur_low,0.05163321812757572
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,blur_low,0.032086546922308626
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,blur_low,0.05297498610320837
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,blur_low,0.022288931909066126
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,blur_low,0.024713663299298333
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,blur_low,0.03239932842010795
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,blur_high,0.049694286822471234
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,blur_high,0.08104946967948845
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,blur_high,0.06325129537535795
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,128,blur_high,0.06738304075267583
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,128,blur_high,0.07683904564512817
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,128,blur_high,0.06794613921366564
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,blur_high,0.07110708237819749
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,blur_high,0.07125489723916485
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,blur_high,0.06731255230227882
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,blur_high,0.0644410173830938
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,blur_high,0.048138102372028084
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,blur_high,0.06262538910438353
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,blur_high,0.07560862565764631
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,blur_high,0.06641364143187112
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,blur_high,0.06951788096562385
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,blur_high,0.0602048574865708
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,jpeg_70,0.04428569467272228
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,jpeg_70,0.0299585752590721
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,jpeg_70,0.014058074877043874
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,128,jpeg_70,0.02828923609468826
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,128,jpeg_70,0.03140024744593334
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,128,jpeg_70,0.019008667966271806
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,jpeg_70,0.013066101027346845
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,jpeg_70,0.012778908533939473
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,jpeg_70,0.04672484915087869
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,jpeg_70,0.016287546197994565
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,jpeg_70,0.03906772707886469
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,jpeg_70,0.021741843626498086
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,jpeg_70,0.015579227930780294
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,jpeg_70,0.010404040346360792
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,jpeg_70,0.010766001137965301
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,jpeg_70,0.009458881436727962
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,jpeg_35,0.01611915655808596
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,jpeg_35,0.043239393940903995
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,jpeg_35,0.01576706018939138
